Judul,Penulis,Pembimbing 1,Pembimbing 2,Abstrak
"KLASIFIKASI EFEKTIVITAS MENGHAFAL ASMAUL HUSNA MELALUI PEMBELAJARAN HANIFIDA MENGGUNAKAN 
GAME EDUKASI DENGAN METODE FUZZY",Penulis : Yunita Indriana Putri Lestari,"Dosen Pembimbing I : Arik Kurniawati, S.Kom., M.T.","Dosen Pembimbing II :Rima Tri Wahyuningrum, S.T., M.T.","Game sudah merambah dalam berbagai bidang kehidupan, tidak terkecuali bidang pendidikan. Manusia mempunyai sifat dasar lebih cepat mempelajari segala sesuatu secara visual â verbal, sehingga game juga baik jika dilibatkan dalam proses pendidikan. Salah satu materi yang dapat dimasukkan dalam game edukasi adalah pembelajaran menghafal Asmaul Husna. Metode pembelajaran juga sangat penting digunakan untuk media pembelajaran. Salah satu metode yang digunakan adalah metode Hanifida. Game yang dibuat menggunakan metode Hanifida terdiri dari 4 level. Tiap-tiap level merepresentasikan tahapan-tahapan dalam pembelajaran metode Hanifida. Pada penelitian ini, penulis mengukur tingkat keefektifan metode Hanifida sebagai media pembelajaran dengan mengklasifikasi hasil uji coba game. Uji coba game yang digunakan adalah pada game level 4 yang diuji coba pada 30 siswa-siswi Sekolah Dasar. Hasil uji coba kemudian diklasifikasi menggunakan metode Fuzzy. Terdapat 3 input variabel dari hasil uji coba game level 4, yaitu nilai, waktu, dan langkah. Variabel-variabel tersebut digunakan untuk proses klasifikasi. Selain input variabel, juga terdapat output variabel, yaitu hasil keefektifan. Hasil keefektifan dari klasifikasi Fuzzy yang dilakukan pada hasil uji coba game level 4, yaitu metode Hanifida efektif dijadikan sebagai media pembelajaran dalam menghafal Asmaul Husna sebesar 73.3% dengan rincian persentase untuk hasil sangat efektif 23.3% dan hasil efektif sebesar 50%."
Gender Recognition Menggunakan metode Principal Component Analysis dikombinasikan dengan Local Binary Pattern,Penulis : Ahmad Ferdiansah,"Dosen Pembimbing I : Dr. Arif Muntasa., S.Si,. M.T","Dosen Pembimbing II :Dr. Indah Agustien S., S.Kom,. M.Kom","Gender Recognition merupakan sistem untuk mengidentifikasi jenis kelamin seseorang berdasarkan citra wajah, karena di dalam citra wajah terdapat fitur yang merepresentasikan karakteristik seseorang. Gender Recognition dapat digunakan dalam berbagai macam applikasi, seperti interaksi manusia dan komputer, sistem kamera, dan sistem temu kembali citra. Pengklasifikasian jenis kelamin diperoleh dari tiga tahap antara lain preprocessing, ekstraksi fitur, dan pengklasifikasian citra. Tahap pertama, yaitu Preprocessing yang bertujuan untuk menghilangkan variasi pencahayaan pada citra dengan menggunakan metode Local Binary Pattern (LBP). Tahap kedua, ekstraksi fitur menggunakan metode Principal Component Analysis (PCA) sehingga menghasilkan susunan matrik proyeksi dan matrik bobot yang akan digunakan pada tahap klasifikasi. Tahap ketiga,  pengklasifikasian citra menggunakan pengukuran kemiripan Euclidean Distance, dengan cara membandingkan matrik bobot citra training dengan matrik bobot testing yang diperoleh dari proses perkalian citra testing dengan matrik proyeksi. Dari hasil uji coba sistem, kombinasi metode Principal Component Analysis (PCA) dan Local Binary Pattern (LBP) dengan menggunakan pengukuran kemiripan Euclidean Distance tingkat akurasi rata-rata mencapai 80%. Klasifikasi jenis kelamin yang salah dikarenakan oleh miripnya bentuk rambut, bentuk kepala serta ekspresi antara citra perempuan dan citra pria."
PERBANDINGAN METODE FISHERFACE DAN PRINCIPAL COMPONENT ANALYSIS PADA EKSTRAKSI FITUR UNTUK PENGENALAN WAJAH,Penulis : Fawaidul Badri,"Dosen Pembimbing I : Dr. Arif Muntasa., S.Si., M.T","Dosen Pembimbing II :Dr. Indah Agustien., S.Kom., M.Kom","ASDJNLM,LKBGXDFXGVVN,M,.MJKGHJBNBNJBHBKJNHHGHGHJGFHGHGVHGVHKBHJGHJGHJGHASDJNLM,LKBGXDFXGVVN,M,.MJKGHJBNBNJBHBKJNHHGHGHJGFHGHGVHGVHKBHJGHJGHJGHASDJNLM,LKBGXDFXGVVN,M,.MJKGHJBNBNJBHBKJNHHGHGHJGFHGHGVHGVHKBHJGHJGHJGHASDJNLM,LKBGXDFXGVVN,M,.MJKGHJBNBNJBHBKJNHHGHGHJGFHGHGVHGVHKBHJGHJGHJGHASDJNLM,LKBGXDFXGVVN,M,.MJKGHJBNBNJBHBKJNHHGHGHJGFHGHGVHGVHKBHJGHJGHJGHASDJNLM,LKBGXDFXGVVN,M,.MJKGHJBNBNJBHBKJNHHGHGHJGFHGHGVHGVHKBHJGHJGHJGHASDJNLM,LKBGXDFXGVVN,M,.MJKGHJBNBNJBHBKJNHHGHGHJGFHGHGVHGVHKBHJGHJGHJGHASDJNLM,LKBGXDFXGVVN,M,.MJKGHJBNBNJBHBKJNHHGHGHJGFHGHGVHGVHKBHJGHJGHJGHASDJNLM,LKBGXDFXGVVN,M,.MJKGHJBNBNJBHBKJNHHGHGHJGFHGHGVHGVHKBHJGHJGHJGH"
RANCANG BANGUN SISTEM PENCARIAN DAN HIRARKI PASAL-PASAL TENTANG LALU LINTAS DAN ANGKUTAN JALAN DENGAN MENGGUNAKAN VECTOR SPACE MODEL,Penulis : Azizi Fahmi,"Dosen Pembimbing I :  Firdaus Solihin, S.Kom.,M.Kom","Dosen Pembimbing II :Hermawan, S.T.,M.Kom","Sosialisasi UU nomor 22 tahun 2009 merupakan hal yang penting, namun kompleksitas dan banyaknya aturan yang terkandung membuat masyarakat kesulitan dalam memahaminya. Berbagai sosialisasi dan kampanye safety riding telah dilakukan, namun masih banyaknya penyimpangan yang dilakukan para pengguna jalan mengindikasikan akan diperlukannya suatu alternatif media yang tepat dan akurat sebagai sarana untuk sosialisasi. Konsep sistem pencarian berbasis information retrieval (IR), dapat digunakan untuk proses sosialisasi melalui media internet. Pembangunan IR pada penelitian ini menggunakan konsep vector space model (VSM). VSM merupakan proses penghitungan kemiripan antar pasal yang direpresentasikan dalam suatu model ruang vektor. Selanjutnya dibentuk hirarki pada pasal-pasal hasil dari proses retrieve-nya. Berdasarkan hasil pengujian sistem, didapatkan nilai minimal cosine similarity terbaik dengan treshold 0,1. Dengan presentase rata-rata precision 58,6 %, presentase rata-rata recall nya mencapai 92,4 % dan rata-rata presentase f-measure nya 65,5 %. Hasil dari pengujian efektifitas sistem pada masyarakat, dapat dikatakan bahwa aplikasi ini sangat membantu dan memiliki penerimaan yang baik disisi pengguna, dengan presentase sangat baik 20 % , baik 72 %, cukup baik 24,7 % dan  buruk 3,4 %."
Sistem analisis sentimen produk telkomsel dari opini twitter berbahasa Indonesia menggunakan metode naive bayes classifier,Penulis : Muhamad Roni Firdaus,"Dosen Pembimbing I : Mulaab,S.Si.,M.Kom","Dosen Pembimbing II :Firdaus Solihin,S.Kom.,M.Kom","Analisis sentimen otomatis berdasarkan opini masyarakatterhadap produk TELKOMSEL berbahasa Indonesia. Opini masyarakat diambil dari sebuah situs microblogging twitter dengan melakukan crawling data opini dengan keyword produk-produk dari sebuah provider di Indonesia yaitu Telkomsel. Sistem akan melakukan pengklasifikasian tweet menjadi sebuah kategori yaitu positif,negatif atau netral. Sebelum data training dan data testing didapatkan dari pemisahan data hasil crawling menjadi 75% untuk training dan 25% untuk data testing.Metode yang digunakan untuk mengklasifikasikan adalah metode naÃ¯ve bayes classifier. Hasil akhir atau output dari aplikasi ini berupa peta yang menunjukkan pada daerah mana user yang menyatakan opini positif, negatif atau netral. Dengan aplikasi ini sebuah perusahaan dapat menganalisa kepuasan pelanggan terhadap produk yang dimilikinya dan dapat mengetahui daerah mana saja user menyatakan kepuasan atau ketidakpuasan. Hasil ujicoba pada sistem klasifikasi teks dengan menggunakan data hasil crawling diperoleh akurasi sebesar 63% dan error rate sebesar 37%, hasil ini mungkin kurang memuaskan itu dikarenakan data teks yang ditulis oleh user pada twitter lebih banyak menggunakan kata yang mengandung singkatan."
PERBANDINGAN METODE PRINCIPAL COMPONENT ANALYSIS (PCA) DAN METODE TWO DIMENSIONAL PRINCIPAL COMPONENT ANALYSIS (2DPCA) DALAM PENGENALAN JENIS KELAMIN BERDASARKAN CITRA WAJAH,Penulis : Malika Balqis,"Dosen Pembimbing I : Rima Tri Wahyuningrum, S.T., M.T","Dosen Pembimbing II :Cucun Very Angkoso, S.T., M.T","Seiring dengan berkembangnya teknologi, teknik biometrika juga semakin berkembang, seperti pengenalan pola iris mata, pengenalan pola senyum, pengenalan ekspresi wajah dan lain sebagainya. Teknik ini digunakan untuk identifikasi wajah manusia, salah satu contohnya yaitu pengenalan jenis kelamin (gender recognition). Sebelum berkembangnya penelitian dalam teknik biometrika,  pengenalan identitas seseorang masih menggunakan kartu identitas dan password. Berbagai macam metode sudah banyak digunakan dalam pengenalan jenis kelamin. Pada penelitian ini membandingkan metode Principal Component Analysis (PCA) dan Two-Dimensional Principal Component Analysis (2DPCA). Metode ini adalah metode yang digunakan dalam proses ekstraksi fitur untuk menentukan ciri dari wajah. Untuk proses klasifikasi jenis kelaminnya menggunakan metode Canberra Distance. Uji coba dilakukan pada 200 data yaitu 100 citra wajah laki-laki dan 100 citra wajah perempuan dengan 7 skenario uji coba. Berdasarkan hasil uji coba pada sistem ini menunjukkan bahwa metode Principal Component Analysis (PCA) dapat mengenali jenis kelamin dengan akurasi terbaik yaitu 82.5% pada skenario 6 dengan 15 eigen (160 data training dan 40 data testing) sedangkan metode Two Dimensional Principal Component Analysis (2DPCA)  dapat mengenali jenis kelamin dengan akurasi terbaik yaitu 87.5% pada skenario 7 dengan 15 eigen (160 data training dan 40 data testing)."
"RANCANG BANGUN APLIKASI AUGMENTED REALITY UNTUK 
PENENTUAN RUTE DAN JARAK FASILITAS KESEHATAN BERBASIS 
ANDROID",Penulis : Tony Wijaya,"Dosen Pembimbing I : Cucun Very Angkoso, S.T., M.T.","Dosen Pembimbing II :Ari Kusumaningsih, S.T., M.T.",
Aplikasi Pengenalan Sidik Jari Menggunakan Algoritma Phase Only Correlation,Penulis : Aqiyas A.P,"Dosen Pembimbing I : Eza Rahmanita, ST., MT.,","Dosen Pembimbing II :Meidya Koeshardianto, S.Si., MT","Sistem pengenalan sidik jari bertujuan untuk mengindentifikasi seseorang, namun salah satu kendala dalam pengenalan sidik jari seseorang adalah adanya distorsi pada citra sidik jari, pada penelitian sebelumnya distorsi citra sidik jari diklasifikasikan ke dalam lima kategori, yaitu: berminyak, kering, kotor, terpotong sebagian dan rotasi. Penelitian ini membahas tentang pengenalan sidik jari menggunakan spectrum fase citra sidik jari. tujuan dari penelitian ini adalah mencari besar perbedaan sudut antara citra sidik jari masukan dengan citra sidik jari pelatihan, metode yang digunakan adalah phase-only Correlation (POC), yaitu sebuah metode yang menghitung korelasi phase atau sudut dari citra sidik jari masukan dengan citra sidik jari pelatihan.

Kata kunci : Phase Only Correlation (POC), sidik jari, spectrum fase"
Rancang Bangun Game Quisioner Tes TOEFL Berbasis Komunikasi Multiplayer Menggunakan REST Web Service,Penulis : Yudhistira Putra Mahardhika,"Dosen Pembimbing I : Hermawan. S.T., M.Kom",Dosen Pembimbing II :Cucun Very Angkoso. S.T. M.T,
Sistem Pemilihan Bidang Minat (SPBM) Menggunakan Metode Association Rule,Penulis : Hofidatur Rofi'ah,"Dosen Pembimbing I : Mula'ab, S.Si., M.kom","Dosen Pembimbing II :Bain Khusnul Khotimah, ST., M.Kom","Teknik data mining adalah suatu cara yang digunakan untuk menggali informasi lebih mendalam terhadap suatu data yang umumnya berjumlah besar. Salah satu metode dari beberapa teknik data mining yang dapat digunakan untuk mengolah data mahasiswa Teknik Informatika Universitas Trunojoyo Madura (TI-UTM) adalah Association Rule yang salah satu algoritmanya adalah Algoritma Apriori. Dengan metode dan algoritma ini dapat ditemukan hubungan kedekatan antar Mata Kuliah Prasyarat (MKP) dengan bidang minat yaitu dengan membangkitkan frequent itemset. Rule yang dibangun oleh antecedent dan consequent dari masing-masing k-itemset yang memenuhi minimum support maka akan dilanjutkan pada pembangkitan frequent itemset selanjutnya, hingga terakhir tidak ada lagi item yang memenuhi minimum support dan dapat dikombinasikan. Pada Penelitian ini digunakan skenario ujicoba 100 record data dan didapatkan support minimal sebesar 42%, support maksimal sebesar 62% dengan rule terbaik pada minsup 62% yaitu kombinasi Mata Kuliah Prasyarat (MKP) PTI dan bidang minat SISTER dengan confidence sebesar 87,37%. Support minimal dapat terbentuk apabila jumlah dari tiap-tiap item (atribut)  lebih besar sama dengan minsup yang digunakan, support maksimal dapat terbentuk apabila dari minsup yang digunakan tidak lagi mengahasilkan output yaitu berupa rule. Sedangkan rule yang terbaik adalah rule yang mempunyai nilai support dan confidence yang paling tinggi dan rule tersebut mempunyai nilai kepercayaan yang dapat mewakili dari seluruh kombinasi item yang telah terbentuk. Semakin besar jumlah minsup dan mincof yang digunakan maka rule yang dihasilkan akan semakin sedikit, tetapi rule yang dihasilkan tersebut juga akan semakin kuat karena memiliki nilai kepercayaan yang tinggi."
PENGENALAN WAJAH MENGGUNAKAN KERNEL PRINCIPAL COMPONENT ANALYSIS (KPCA),Penulis : YULIA FATMAWATI,"Dosen Pembimbing I : Rima Tri Wahyuningrum, S.T., M.T","Dosen Pembimbing II :Fitri Damayanti, S.Kom., M.Kom.","Permasalahan machine learning dan pattern recognition bukanlah hal yang baru. Hal ini dapat dilihat dari aplikasi yang digunakan masyarakat sekarang ini. Seiring dengan perkembangan teknologi komunikasi, semakin berkembang pula teknik dan algoritma yang digunakan untuk menyelesaikan permasalahan machine learning dan pattern recognition. Permasalahan yang paling umum adalah pengenalan obyek. Dalam hal ini adalah wajah. Pengenalan wajah ini di adopsi dari kemampuan manusia membedakan wajah antar satu orang dengan yang lain. Pada penelitian ini akan dibuat sistem pengenalan wajah. Pada proses awal akan dilakukan ekstraksi fitur menggunakan Kernel Principal Component Analysis (KPCA) untuk menentukan karakteristik dari wajah. Kemudian dilanjutkan dengan proses klasifikasi menggunakan Mahalanobis Distance. Hasil yang dicapai pada penelitian ini sesuai uji coba yang telah dilakukan pada basis data ORL adalah : 96,23%, pada basis data YALE adalah: 95,46%, dan pada basis data BERN adalah: 95,15%. Ketiganya berada pada acak 5 dengan masing-masing kombinasi data pelatihan pose ke 3,5,7,8,10 pada ORL, 3,5,7,8,10 pada YALE, dan 3,5,7,9,10 pada BERN. Sehingga dapat disimpulkan bahwa metode ekstraksi fitur KPCA yang dikombinasikan dengan metode klasifikasi Mahalanobis Distance cukup baik digunakan sebagai pengenalan wajah."
"PERBANDINGAN PRINCIPAL COMPONEN ANALYSIS (PCA) 
DAN 2 DIMENSIONAL PRINCIPAL COMPONEN ANALYSIS (2D-PCA) UNTUK PENGENALAN ANGKA PADA SISTEM ISYARAT BAHASA INDONESIA (SIBI)",Penulis : Hanim Kholidah,"Dosen Pembimbing I : Cucun Very Angkoso, S.T., M.T.","Dosen Pembimbing II :Rima Tri Wahyuningrum, S.T., M.T.","Penderita tuna rungu menggunakan bahasa isyarat dalam berkomunikasi. Tujuan utama dari penelitian ini adalah agar terjadi harmoni sosial yang baik antara orang tuna wicara dan tuna rungu dengan orang normal. Pada penelitian ini, pengenalan yang dilakukan terfokus pada pengenalan isyarat angka â0â-â9â. Pengenalan pola isyarat citra tangan statis akan melaui tiga tahapan secara garis besar yaitu, segmentasi citra tangan,  ekstraksi fitur/ciri, dan klasifikasi pola. Pada penelitian ini citra akan melalui proses segmentasi yaitu dengan proses background removing/ skin detection untuk memisahkan wilayah objek yang akan diteliti (yaitu tangan) dengan backgroundcitra. Kemudian citra hasil tersebut akan dirubah dalam mode grayscale untuk selanjutnya dilakukan ekstraksi fitur dan klasifikasi pola dengan menggunakan algoritma PCA dan 2DPCA. Pada penelitian ini data citra yang digunakan 200 data training dan data testing untuk di proses pada sistem yang telah dibuat. Dengan menggunakan metode ekstraksi fitur PCA dan 2DPCA, kemudian dihitung pengenalan jaraknya menggunakan Euclidean Distance, dengan perbandingan tingkat akurasi 87,5% untuk PCA dan 94% untuk 2DPCA. Sehingga disimpulkan bahwa akurasi 2DPCA lebih besar dari PCA."
Implementasi Efficient-SOM Pada Text Clustering Menggunakan Reduksi Dimensi,Penulis : Toyibatu Lailiya,"Dosen Pembimbing I : Dr. Indah Agustien S., M.Kom.","Dosen Pembimbing II :Mulaab Mulyo, S.Si., M.Kom.","Data berukuran besar yang sudah disimpan jarang digunakan secara optimal karena kemampuan manusia yang terbatas untuk mengelolanya. Salah satu data berskala besar adalah data teks. Data teks memiliki fitur yang sangat besar sehingga untuk mengolahnya memerlukan waktu komputasi yang besar pula. Penelitian ini bertujuan untuk mengurangi waktu komputasi dalam proses clustering sehingga data teks dapat diolah secara efisien. Proses clustering menggunakan metode SOM dengan menerapkan reduksi dimensi pada tahap preprosesing. Metode ini diterapkan untuk mengelompokan data tugas akhir mahasiswa Teknik Informatika Universitas Trunojoyo Madura. Dalam metode yang diusulkan, analisis morfologi dilakukan pada teks abstrak tugas akhir mahasiswa untuk menghasilkan vektor input dengan unsur term dari tugas akhir tersebut. Adanya elemen vektor yang jarang, memungkinkan terjadinya reduksi dimensi. Reduksi dimensi dilakukan dengan  menghilangkan matriks jarang atau kolom yang banyak mengandung nilai 0. Dari percobaan yang dilakukan, diperoleh hasil bahwa optimum cluster untuk data abstrak berada pada scenario 1 yaitu jumlah term setelah direduksi sebanyak 150 term, sehingga menghasilkan nilai rata-rata SSE = 0.01117.  Sedangkan untuk data laporan optimum cluster berada pada scenario 2 yaitu jumlah term setelah direduksi sebanyak 346 term, sehingga mengahasilkan nilai rata-rata SSE = 0.0085 detik."
Pengembangan Aplikasi Pendeteklsi Plagiarisme Dengan Metode Latent Semantik Index,Penulis : Pan Gani Ginting,"Dosen Pembimbing I : Hermawan S.T, M.Kom","Dosen Pembimbing II :Fika Hastarita R S.T, M.Eng","Pendeteksian plagiarisme dilakukan untuk mendeteksi plagiarisme  terhadap karya ilmiah . Metode Latent Semantik Index adalah salah satu dari beberapa metode yang merupakan search engine untuk meningkatkan kualiatas pencarian. Metode ini dipilih untuk membantu permasalahan tersebut.Metode Latent Semantik Index atau disingkat LSI mengunakan tahapan untuk mendapatkan nilai similarity antara dokumen satu dengan dokumen lainnya. Tahap yang harus dilalui dengan Singular Value Decompotition (SVD) untuk mereduksi atau mendekomposisi matriks dokumen. SVD biasa digunakan dalam menyelesaikan kuadrat linear terkecil tak terbatas, perkiraan dimensi atau rank matriks dan analisa hubungan secara kanonik. Perhitungan similarity menggunakan cosine similarity untuk mendapatkan kesamaan antar dokumen. Threshold nilai antara 0 sampai dengan 1, dengan nilai 0,410 sampai  mendekati atau mencapai angka 1 maka dokumen tersebut sama atau plagiarisme."
PERANCANGAN SISTEM DETEKSI PLAGIARISME KARYA ILMIAH BERBAHASA INDONESIA MENGGUNAKAN ALGORITMA WINNOWING FINGERPRINT,Penulis : FERI OKTO SINAGA,"Dosen Pembimbing I : HERMAWAN, S.T, M.KOM","Dosen Pembimbing II :FIKA HASTARITA R, S.T, M.ENG","Pada era teknologi informasi ini banyak hal yang seharusnya baik mejadi disalah gunakan, salah satunya adalah plagiarisme. Plagiarisme merupakan masalah penting, terutama dalam lingkungan akademisi, dimana terjadi penjiplakan karya tulis ilmiah yang makin marak sekarang ini. Salah satu cara untuk mengurangi plagiarisme yaitu dengn membangun sebuah sistem deteksi plagiarisme. Adapun algoritma yang digunanak dalam proses deteksi plagiarisme yaitu dengan menggunakan algoritma winnowing. Dokumen yang akan dibandingkan diproses dan mendpatkan fingerprint dari dokumen tadi, dimana fingerprint tersebut berupa ekumpulan nilai hash. Fingerprint yang sama antara dokumen yang dibandingkan kemiripannya merupakan kunci dari penghitungan nilai similarity-nya. Hasil penghitungan kemiripan antar 2 dokumen dengan 2 gram menghasilkan similarity mencapai 75,56%, sedangkan dengan percobaan dengan 10 gram, beberapa dokumen tidak mendapatkan kemiripan, yaitu dengan nilai 0%. Dari hasil uji coba sistem deteksi plagiarisme menggunakan algoritma winnowing fingerprint, nilai similarity-nya bergantung pada besarnya nilai gram, basis dan window dari sistem tersebut. Semakin kecil nilai gram, maka hasil dari similarity semakin besar."
Market Basket Analysis dengan Metode Algoritma Apriori Association Rules,Penulis : Rana Drajat,"Dosen Pembimbing I : Moch.Kautsar Sophan,S.Kom.,M.MT","Dosen Pembimbing II :Bain Khusnul K,S.T.,M.Kom","Marked Basket Analisis (MBA) adalah salah satu konsep dalam data mining yang bertujuan untuk menganalisis perilaku konsumen, yaitu dengan menganalisis produk yang biasanya dibeli bersamaan dengan produk lain berdasarkan data transaksi yang diambil dari data historis dari pembelian di toko atau supermarket. Dengan MBA, Data historis tersebut dapat diubah  menjadi sebuah informasi yang berharga sehingga dapat mencapai strategi bisnis yang baik. MBA dapat diterapkan dengan berbagai macam algoritma, salah satunya adalah Algoritma apriori. Dalam proses Algoritma Apriori akan dilakukan perhitungan support  dan confidence dari tiap-tiap kombinasi barang yang memungkinkan. Kemudian, dibutuhkan juga adanya minimum support dan minimum confidence untuk menyeleksi kombinasi-kombinasi yang memenuhi syarat. Dari hasil ujicoba data yang telah dipartisi dapat diketahui bahwa dari beberapa partisi data  yang telah di ujicoba ,mulai data 50 sampai 550 di dapatkan hasil, Semakin besar data maka akan banyak kombinasi barang yang tereliminasi, sehingga menghasilkan data kombinasi yang lebih efisien dan akurat, yaitu data 550 dengan rata-rata waktu proses  2-4 detik."
"KLASIFIKASI KOMPLEKSITAS VISUAL CITRA BERDASARKAN STRUCTURE, NOISE, DAN DIVERSITY MENGGUNAKAN SISTEM INFERENSI FUZZY MAMDANI",Penulis : Fathor Rasyid,"Dosen Pembimbing I : Dr. Indah Agustien Siradjuddin, S.Kom., M.Kom.","Dosen Pembimbing II :Rima Tri Wahyuningrum, S.T.,M.T.","Kompleksitas visual citra merupakan representasi dari persepsi penglihatan manusia terhadap suatu citra. Pada penelitian ini, kompleksitas visual citra digunakan untuk mengkategorikan citra antara lain Very Simple, Simple, Medium, Complex, dan Very Complex. Kompleksitas visual citra direpresentasikan dengan tiga fitur, diantranya adalah fitur Structure, Noise, dan Diversity. Fitur Structure diekstraksi dengan menghitung rasio antara piksel tepi dengan total jumlah piksel pada citra, tepi dari citra dideteksi dengan tiga deteksi tepi yaitu Sobel, Prewitt dan Laplacian of Gaussian. Fitur Noise diekstraksi dengan menghitung Standard Deviasi dari citra yang dikonvolusi dengan kernel Laplacian. Sedangkan fitur Diversity diekstraksi dengan membagi antara piksel sudut dengan jumlah baris pada citra, sudut dari citra dideteksi menggunakan FAST Algorithm. Sistem Inferensi Fuzzy tipe Mamdani digunakan untuk memberi label pada citra berdasarkan fitur yang sudah diekstraksi. Hasil uji coba menunjukkan bahwa semakin banyak objek dan pola pada citra, maka semakin tinggi pula kompleksitas visual dari citra. Sebaliknya, semakin sedikit objek dan pola pada citra, maka semakin rendah pula kompleksitas visual dari citra. Disamping itu, tiga jenis deteksi tepi yang digunakan untuk mengekstraksi fitur Structure tidak begitu berpengaruh terhadap sistem."
"Klasifikasi Tingkat Kesejahteraan Masyarakat Di Kabupaten Bangkalan Menggunakan Metode 
Fuzzy K-Means Dan Indeks Davies Bouldin",Penulis : Misbahul Fadil,"Dosen Pembimbing I : Bain Khusnul Khotimah. S.T.,M.Kom","Dosen Pembimbing II :Aeri Rachmad S.T, M.T","Indonesia memiliki kelebihan angkatan kerja yang tinggi, sementara penyerapan tenaga kerja di dalam negeri terbatas, sedangkan permintaan tenaga kerja khususnya dari negara Timur Tengah dan Asia Pasifik cukup banyak sehingga menyebabkan terjadinya migrasi tenaga kerja terhadap negara-negara tersebut. Tingkat pengangguran itu dipengaruhi oleh skill dan unskill sedangkan tingkat kesejahteraan dipengaruhi oleh pendidikan, usia produktif, kesehatan, luas daerah, jumlah penduduk dan lapangan kerja. Pada penelitian ini dilakukan perhitungan tingkat kesejahteraan menggunakan metode Fuzzy K-Means sebagai pengelompokan untuk mengetahui tingkat kesejahteraan masyarakat. Sedangkan Indeks Davies Bouldin digunakan untuk akurasi data hasil agar memperoleh nilai akhir yang mendekati kenyataan yang sebenarnya di lapangan. Dengan diimplementasikannya Sistem Klasifikasi ini dapat membantu kinerja perhitungan lebih cepat dan terotomatisasi dimasa akan datang, sehingga tingkat kesejahteraan masyarakat dapat diketahui dengan mudah.
Hasil Clustering data pada tahun 2008 menggunakan 50 iterasi dengan cluster 2, 4 dan 6 ( 0.883, 2.457 dan 4.379), tahun 2009 menggunakan 50 iterasi dengan cluster 2, 4 dan 6 (0.907, 2.828 dan 4.446) dan tahun 2010 menggunakan 50 iterasi dengan cluster 2, 4 dan 6 (0.908, 2.373 dan 4.379). Dapat disimpulkan semakin banyak jumlah klaster yang digunakan maka semakin tinggi juga nilai IDB walaupun menggunakan nilai terasi yang berbeda-beda. Jangka waktu tidak berpengaruh terhadap nilai IDB  karena berdasarkan penelitian ini nilai DBI pada tahun 2008 sampai 2010 tidak menunjukkan perubahan yang signifikan"
Penerapan Penghapusan Pola Kata dalam Rekonstruksi Stemming Bahasa Indonesia,Penulis : Ana Tsalitsatun Ni'mah,"Dosen Pembimbing I : Firdaus Solihin, S.Kom., M.Kom.","Dosen Pembimbing II :Iwan Santosa, S.T., M.T.","Stemming adalah penghapusan imbuhan untuk menentukan kata dasarnya. Penelitian mengenai stemming telah memunculkan beberapa algoritma stemming bahasa Indonesia. Di antara beberapa algoritma tersebut, penelitian ini mencoba menerapkan algoritma stemming bahasa Indonesia yang telah mengalami rekonstruksi. Algoritma tersebut adalah Indonesian Stemmer Reconstruction (ISR). Rekonstruksi yang diterapkan pada algoritma ini dapat dilihat pada cara penghapusannya. Jika algoritma lain menghapus imbuhan secara tidak bersamaan antara awalan dan akhiran, algoritma ini melakukan penghapusan secara bersamaan pada awalan dan akhirannya. Rumus penghapusan tersebut didapatkan dari penyusunan formula Reguler Ekspression yang lebih singkat dan tidak menghabiskan waktu dalam prosesnya. Formula tersebut disusun berdasarkan acuan penggunaan imbuhan dalam bahasa Indonesia. Hal ini tentunya menunjang untuk mendapatkan hasil stemming yang lebih baik. Penelitian ini melakukan uji coba pada 300 dokumen yang sebelumnya telah diuji coba pada penelitian Fadhila Tala dan 50 konten dari dokumen hasil Crawler RISE. Penelitian ini memberikan hasil yang cukup baik yaitu perhitungan kebenaran kata mencapai 72% dan kecepatan 0,0243 detik pada 300 dokumen Fadhila Tala. Sedangkan pada 50 konten/dokumen hasil Crawler RISE didapatkan kecepatan sebesar 0,0052 detik dengan persentase kebenaran kata sebesar 50%."
